"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"2010","Peugeot 307 1.6 XT
            sahibinden satılık temiz aile arabası","2003",161000,"Kırmızı",25750,"14 Mayıs 2017"," Ankara Etimesgut","Peugeot 307 1.6 XT
",30.769476,36.8827594
"2111","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            05412400117 bu numaradan ulaşın acik satılıktıe
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",15000,"Mavi",110000,"14 Mayıs 2017"," Balıkesir Bigadiç","Volkswagen Passat 1.",35.2587964,36.9674013
"2210","Toyota Corolla 1.4 D-4D Comfort
            TOYOTA SERVİSİNDEN COROLLA D4D","2008",188000,"Siyah",40500,"14 Mayıs 2017"," Sakarya Erenler","Toyota Corolla 1.4 D",35.2587964,36.9674013
"2310","Volkswagen Polo 1.4 Comfortline
            VW POLO TERTEMİZ DEĞİŞEN YOK","2001",172000,"Mavi",23000,"14 Mayıs 2017"," Kayseri Kocasinan","Volkswagen Polo 1.4 ",35.2587964,36.9674013
"240","Ford C-Max 1.6 TDCi Titanium
            Sahibinden c-max titanium","2015",54000,"Beyaz",63000,"14 Mayıs 2017","İstanbulÜmraniye","Ford C-Max 1.6 TDCi ",35.2587964,36.9674013
"311","Toyota Avensis 1.6 Elegant Extra
            HASAR KAYITSIZ DOSTA GİDECEK ARABA","2013",11500,"Bordo",71500,"14 Mayıs 2017"," Ankara Yenimahalle","Toyota Avensis 1.6 E",29.0576298,41.0189417
"411","Ford Escort 1.6 CLX
            Ford escort az yakar çok kaçarO","1999",180000,"Mavi",17850,"14 Mayıs 2017"," Ankara Yenimahalle","Ford Escort 1.6 CLX",29.0576298,41.0189417
"510","Tofaş Kartal 5 Vites
            ÇOK TEMİZ MAKAM ARACI KARKAL","1990",92,"Lacivert",8500,"14 Mayıs 2017"," Erzincan Merkez","Tofaş Kartal 5 Vites",28.824722,41.0456474
"711","Volkswagen Polo 1.6 Classic
            acil satilik","1997",236000,"Beyaz",17750,"14 Mayıs 2017"," KocaeliÇayırova","Volkswagen Polo 1.6 ",35.2587964,36.9674013
"811","Opel Astra 1.3 CDTI Sport
            HATASIZ GARAJ ARABASI","2012",65000,"Siyah",57750,"14 Mayıs 2017"," Ordu Perşembe","Opel Astra 1.3 CDTI ",30.769476,36.8827594
"911","Hyundai Getz 1.4 DOHC HY KLM
            TEMİZ MEMURDAN HYUNDAİ GETZ","2006",187000,"Mavi",22500,"14 Mayıs 2017"," Kayseri Talas","Hyundai Getz 1.4 DOH",28.6498144,40.9910381
"1010","Hyundai Accent Era 1.5 CRDi Team
            DEGİŞENSİZ ACCENT ERA","2010",112000,"Gri (metalik)",34500,"14 Mayıs 2017","İstanbulŞişli","Hyundai Accent Era 1",29.0227159,40.1794309
"1111","Peugeot 207 1.4 Millesim
            Pazarlık Yok","2010",112000,"Siyah",34000,"14 Mayıs 2017","İstanbul Eyüp","Peugeot 207 1.4 Mill",27.1382404,38.3231215
"1211","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            2012 PASSAT COMRTL/ DİZEL / 86000 km/ MANUEL VİT./ 5 CAM FİLİMLİ
                
                            
                            İlk Sahibi","2012",86000,"Beyaz",77250,"14 Mayıs 2017"," Osmaniye Kadirli","Volkswagen Passat 1.",27.1382404,38.3231215
"1311","Ford Escort 1.6 CL
            Acil araç
                
                            
                            İlk Sahibi","1996",42000,"Gri",10000,"14 Mayıs 2017"," Ankara Keçiören","Ford Escort 1.6 CL
",27.1382404,38.3231215
"1411","Fiat Punto Grande 1.4 Fire Fun
            Temiz masrafsız red punto","2009",97000,"Kırmızı",30500,"14 Mayıs 2017"," AdanaÇukurova","Fiat Punto Grande 1.",27.1382404,38.3231215
"1511","Honda Civic 1.6 Elegance
            Honda Civic Elegans Otomatik","2010",145000,"Siyah",45000,"14 Mayıs 2017"," Sakarya Hendek","Honda Civic 1.6 Eleg",27.1382404,38.3231215
"1611","Ford Focus 1.6 TDCi Trend X
            2014 Ford Focus","2014",86000,"Beyaz",64500,"14 Mayıs 2017"," Ankara Etimesgut","Ford Focus 1.6 TDCi ",28.6498144,40.9910381
"1811","Tofaş Şahin 1.6 ie
            Orjinal 2000 Model Sahin","2000",77000,"Beyaz",14000,"14 Mayıs 2017"," Sivas Merkez","Tofaş Şahin 1.6 ie
",27.1382404,38.3231215
"1911","Renault R 19 1.6 Europa RNE
            Sahibinden temiz europa","1997",192000,"Gri",13500,"14 Mayıs 2017"," Balıkesir Bandırma","Renault R 19 1.6 Eur",27.1382404,38.3231215
"2011","Fiat Brava 1.6 SX
            2001 Model Otomatik Brava Sx","2001",145000,"Mavi",19500,"14 Mayıs 2017"," Ankara Yenimahalle","Fiat Brava 1.6 SX
 ",32.695547,39.9904289
"2112","Renault Scenic 2.0 RXT
            Bakimli.Sahibinden.geniş Aile Aracı","1999",157000,"Gri",21250,"14 Mayıs 2017"," Denizli Pamukkale","Renault Scenic 2.0 R",27.1382404,38.3231215
"2211","BMW 5 Serisi 540i Standart
            Hatasız boyasız orjinal 540 takas olur","1998",214000,"Lacivert",50000,"14 Mayıs 2017"," GaziantepŞehitkamil","BMW 5 Serisi 540i St",27.1382404,38.3231215
"2311","Fiat Palio 1.2 EL
            ÖĞRETMENDEN BAKIMLI PALİO","2003",100600,"Mavi (metalik)",20900,"14 Mayıs 2017"," Osmaniye Merkez","Fiat Palio 1.2 EL
 ",27.1382404,38.3231215
"241","Toyota Corolla 1.3 XE
            Mükemmel Toyota Corolla Çok Temiz","1995",198000,"Beyaz",16250,"14 Mayıs 2017"," Adana Seyhan","Toyota Corolla 1.3 X",31.4798948,39.7265093
"312","Peugeot 301 1.6 HDi Active
            Orjinal peugeot 301","2013",86525,"Beyaz",42500,"14 Mayıs 2017"," Sakarya Serdivan","Peugeot 301 1.6 HDi ",27.1441227,38.4144802
"412","Hyundai i20 1.2 MPI Style
            SIFIR KOKUSU İÇİNDE DÜŞÜK KM İLK SAHİBİNDEN TEMİZ AİLE ARACI
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2014",12555,"Beyaz",45250,"14 Mayıs 2017"," Adana Sarıçam","Hyundai i20 1.2 MPI ",28.8130675,40.142458
"511","Opel Corsa 1.2 Twinport Essentia
            KAÇIRILMAYACAK FIRSAT..!!!","2006",121000,"Siyah",24750,"14 Mayıs 2017"," Konya Meram","Opel Corsa 1.2 Twinp",NA,NA
"712","Volkswagen Golf 1.2 TSi Comfortline
            #orjinal #boyasız#garantili","2015",35000,"Beyaz",69900,"14 Mayıs 2017","İstanbulŞişli","Volkswagen Golf 1.2 ",27.2911248,38.3337361
"812","Volkswagen Golf 1.6 TDi BlueMotion Highline
            Memurdan kazasız hatasız golf
                
                            
                            İlk Sahibi","2014",47000,"Beyaz",84250,"14 Mayıs 2017"," Antalya Konyaaltı","Volkswagen Golf 1.6 ",28.8130675,40.142458
"912","Citroen C3 1.4 HDi X
            BEDAVADAN BİRAZ PAHALI","2004",240000,"Gri (Gümüş)",19500,"14 Mayıs 2017","İstanbul Kartal","Citroen C3 1.4 HDi X",29.0227159,40.1794309
"1011","Hyundai i30 1.4 MPI Blue Drive
            26.000Km. Tertemiz i30
                
                            
                            Yeni Gibi","2014",26500,"Beyaz",55000,"14 Mayıs 2017","Çanakkale Merkez","Hyundai i30 1.4 MPI ",28.8130675,40.142458
"1112","Toyota Corolla 1.4 D-4D Terra
            Totoya","2007",140000,"Gri (Gümüş)",37750,"14 Mayıs 2017"," Adana Seyhan","Toyota Corolla 1.4 D",27.2911248,38.3337361
"1212","Opel Vectra 2.0 CD
            Sahibinden opel vectra 96 model 2000cc 16w","1996",229000,"Yeşil (metalik)",15750,"14 Mayıs 2017"," Diyarbakır Kayapınar","Opel Vectra 2.0 CD
",28.8130675,40.142458
"1312","Renault R 12 Toros
            2000model toros","2000",98000,"Beyaz",16750,"14 Mayıs 2017","Şanlıurfa Haliliye","Renault R 12 Toros
",28.7897558,41.1015173
"1412","Hyundai i20 1.2 D-CVVT Jump
            2.sahibinden 43000km","2012",43000,"Kırmızı",35000,"14 Mayıs 2017"," TekirdağÇorlu","Hyundai i20 1.2 D-CV",29.0227159,40.1794309
"1512","Renault R 9 1.4 Broadway
            ACİL SATILIKOTOMOBİLLER","1994",150,"Beyaz",9500,"14 Mayıs 2017"," Vanİpekyolu","Renault R 9 1.4 Broa",29.0227159,40.1794309
"1612","Opel Vectra 2.0 GLS
            Çokkk acill satılık","1998",299000,"Beyaz",20500,"14 Mayıs 2017"," Kırıkkale Merkez","Opel Vectra 2.0 GLS",28.8130675,40.142458
"1812","Ford Fiesta 1.25 Flair
            Orjinal degisensiz","1999",178000,"Bordo",14250,"14 Mayıs 2017"," Ankara Etimesgut","Ford Fiesta 1.25 Fla",29.0227159,40.1794309
"1912","Volkswagen Jetta 1.2 TSi Comfortline
            Hatasız Jetta","2015",35200,"Beyaz",67900,"14 Mayıs 2017"," GaziantepŞahinbey","Volkswagen Jetta 1.2",28.8130675,40.142458
"2012","Renault R 19 1.4 Europa RN
            RENAULT 19RN EUROPA","1996",280000,"Lacivert",14000,"14 Mayıs 2017","İstanbul Kağıthane","Renault R 19 1.4 Eur",29.1782018,41.1429436
"2113","BMW 5 Serisi 525d xDrive M Sport
            Borusan Çıkışlı BMW 5.25 X Drive M Sport Full + Full","2014",111000,"Beyaz",255000,"14 Mayıs 2017"," Diyarbakır Kayapınar","BMW 5 Serisi 525d xD",28.824722,41.0456474
"2212","Kia Rio 1.4 CRDi Fancy
            ACİLLL 2012 Kia Rio Fancy 1.4 Dizel 6 ileri","2012",181000,"Siyah",36000,"14 Mayıs 2017"," Düzce Merkez","Kia Rio 1.4 CRDi Fan",29.1782018,41.1429436
"2312","Toyota Corolla 1.4 D-4D Elegant
            NAKİT LAZIM PAZARLIK VAR","2012",175865,"Gri",45000,"14 Mayıs 2017"," Aksaray Merkez","Toyota Corolla 1.4 D",29.127778,40.983333
"242","Kia Sephia 1.6 GTX
            BAYANDAN BAKIMLI.MODEL YÜKSELTMEK İÇİN SATIYORUM.","1994",19200,"Kırmızı",13000,"14 Mayıs 2017","İzmir Karabağlar","Kia Sephia 1.6 GTX
",28.8130675,40.142458
"313","Renault Symbol 1.5 dCi Authentique
            Az Yakan Dağa Kaçan","2010",237000,"Beyaz",27250,"14 Mayıs 2017"," Adana Seyhan","Renault Symbol 1.5 d",35.4004505,39.5146953
"413","Skoda SuperB 1.4 TSI Elegance
            Araç Hatasız.orjinal","2012",68,"Siyah",75500,"14 Mayıs 2017"," VanÇaldıran","Skoda SuperB 1.4 TSI",28.824722,41.0456474
"512","Hyundai Accent 1.3 LX
            2002 model klimalı","2002",215000,"Beyaz",18250,"14 Mayıs 2017"," Denizli Merkezefendi","Hyundai Accent 1.3 L",33.3710571,39.7007427
"713","Hyundai i20 1.2 MPI Team
            Motur sıfır yapıldı...,8 lastik 4 kış,,, 4 yaz yeni,","2010",172000,"Siyah",27250,"14 Mayıs 2017","Şanlıurfa Birecik","Hyundai i20 1.2 MPI ",27.1382404,38.3231215
"813","Hyundai i20 1.2 D-CVVT Jump
            2.sahibinden 43000km
                
                            
                            İlk Sahibi","2012",43000,"Kırmızı",35000,"14 Mayıs 2017"," TekirdağÇorlu","Hyundai i20 1.2 D-CV",28.8130675,40.142458
"913","Mercedes - Benz 200 E
            On numara mercedes","1992",305000,"Beyaz",25500,"14 Mayıs 2017"," GaziantepŞahinbey","Mercedes - Benz 200 ",28.824722,41.0456474
"1012","Dacia Sandero 1.5 dCi Stepway
            HATASIZ -74.000 KM ANKARA GARAJ  ARABASI - ÇOK TEMİZ
                
                            
                            İlk Sahibi","2012",74000,"Gri (Gümüş)",39850,"14 Mayıs 2017"," AnkaraÇankaya","Dacia Sandero 1.5 dC",28.8130675,40.142458
"1113","Opel Corsa 1.2 Enjoy
            GÖZ BEBEĞİ SATIŞTA","2004",168000,"Beyaz",25500,"14 Mayıs 2017"," Balıkesir Edremit","Opel Corsa 1.2 Enjoy",29.1782018,41.1429436
"1213","Renault R 9 1.4 Broadway
            Tek fiyat","1987",5e+05,"Beyaz",3000,"14 Mayıs 2017"," Kayseri Melikgazi","Renault R 9 1.4 Broa",29.1782018,41.1429436
"1313","Peugeot 206 1.4 X-Line
            Takaslı, LPG' li 206 (ilanda açıklama var)...","2005",151500,"Beyaz",20600,"14 Mayıs 2017","İzmirÇiğli","Peugeot 206 1.4 X-Li",29.1782018,41.1429436
"1413","Fiat Linea 1.3 Multijet Pop
            Hatasız Boyasız Değişensiz","2014",53000,"Gri (Gümüş)",39500,"14 Mayıs 2017","İstanbul Avcılar","Fiat Linea 1.3 Multi",29.1782018,41.1429436
"1513","Opel Astra 1.6 Elegance
            Astra H","2004",160500,"Lacivert",34900,"14 Mayıs 2017"," KocaeliÇayırova","Opel Astra 1.6 Elega",27.1382404,38.3231215
"1613","Renault Clio 1.5 dCi Alize
            Sahibinden cok temiz dizel allize 
                
                            
                            İlk Sahibi","2005",150000,"Beyaz",23900,"14 Mayıs 2017"," Sakarya Adapazarı","Renault Clio 1.5 dCi",33.1145764,40.1329566
"1813","Skoda Favorit 1.3 Silver Line
            Skoda Favorit Silverline GLX ORJINAL","1993",84000,"Gri (Gümüş)",12250,"14 Mayıs 2017"," Ankara Keçiören","Skoda Favorit 1.3 Si",33.1145764,40.1329566
"1913","Chevrolet Lacetti 1.6 SX
            Servis bakimli kelepir","2005",131000,"Bordo",23500,"14 Mayıs 2017"," Muğla Bodrum","Chevrolet Lacetti 1.",33.3710571,39.7007427
"2013","Toyota Corolla 1.4 D-4D Terra
            TOYOTA COROLLA TEMİZ","2007",147000,"Gri (Gümüş)",34000,"14 Mayıs 2017","İstanbul Silivri","Toyota Corolla 1.4 D",28.7206721,40.9801984
"2114","MG F 1.8
            ilk ve tek
                
                            
                            İlk Sahibi","2000",150000,"Lacivert",45000,"14 Mayıs 2017"," Antalya Kepez","MG F 1.8
          ",31.6880087,40.7652553
"2213","Volkswagen Golf 1.2 TSi Midline Plus
            Öğretmenden...+2 Yıl Garantili...Tertemiz...Bol Extralı...110 hp
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",18500,"Beyaz",67250,"14 Mayıs 2017"," Afyonkarahisar Merkez","Volkswagen Golf 1.2 ",28.7206721,40.9801984
"2313","Fiat Tipo 1.4 ie
            Ihtiyactan satilik","1998",98000,"Mavi",11250,"14 Mayıs 2017"," Kocaeli Gebze","Fiat Tipo 1.4 ie
  ",27.1382404,38.3231215
"243","Hyundai Accent Era 1.6 Team
            HYUNDAİ ACCENT ERA 1.6 16 WALF DOHC MOTOR","2007",287000,"Beyaz",24000,"14 Mayıs 2017"," Nevşehir Merkez","Hyundai Accent Era 1",32.9888319,37.8232112
"314","Ford Focus 1.6 TDCi Trend X
            FIYAT DÜŞTÜ...ORJINAL 118BIN KM","2009",118000,"Beyaz",41900,"14 Mayıs 2017"," Samsun Bafra","Ford Focus 1.6 TDCi ",26.5609857,41.7
"414","Chevrolet Cruze 1.6 Sport Plus
            ASKERI PERSONELDEN","2012",61000,"Beyaz",51000,"14 Mayıs 2017"," Manisa Akhisar","Chevrolet Cruze 1.6 ",38.3960369,40.8414053
"513","Volkswagen Polo 1.6 TDi Comfortline
            ORJİNAL HATASIZ","2010",170000,"Beyaz",38500,"14 Mayıs 2017"," GaziantepŞehitkamil","Volkswagen Polo 1.6 ",29.1782018,41.1429436
"714","Peugeot 307 1.6 XR
            Peugeot 307 1.6 XR Benzin/Lpg","2004",250000,"Bordo",21500,"14 Mayıs 2017"," Bilecik Merkez","Peugeot 307 1.6 XR
",29.1782018,41.1429436
"814","Renault Symbol 1.5 dCi Authentique
            Az Yakan Dağa Çıkan","2010",237000,"Beyaz",27250,"14 Mayıs 2017"," Adana Seyhan","Renault Symbol 1.5 d",27.1382404,38.3231215
"914","Dacia Sandero 1.2 Ambiance
            2012 model 1.2 benzinli 16 valf 50 bin km de kazasız boyasız hatasız extralı dacia sandero","2012",49850,"Füme",31000,"14 Mayıs 2017"," Bursa Osmangazi","Dacia Sandero 1.2 Am",29.1782018,41.1429436
"1013","Tofaş Kartal 5 Vites
            ! ! ! ATEŞ KIRMIZISI KARTAL ! ! !
                
                            
                            İlk Sahibi","1999",145000,"Kırmızı",14500,"14 Mayıs 2017"," AdanaÇukurova","Tofaş Kartal 5 Vites",29.127778,40.983333
"1114","Renault Clio 1.2 Icon
            sahiben orjinal
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",6000,"Kırmızı",50000,"14 Mayıs 2017"," Nevşehir Avanos","Renault Clio 1.2 Ico",28.874244,41.020546
"1214","Kia Soul 1.6 CRDi X-tra
            Temiz kullanılmış aile aracı alıcısına hayırlı olsun
                
                            
                            İlk Sahibi","2012",90000,"Bej",56000,"14 Mayıs 2017","İstanbul Zeytinburnu","Kia Soul 1.6 CRDi X-",29.1782018,41.1429436
"1314","Renault Symbol 1.5 dCi Expression
            Temiz Sahibinden","2011",160000,"Gri (Gümüş)",30500,"14 Mayıs 2017"," Konya Ilgın","Renault Symbol 1.5 d",28.874244,41.020546
"1414","Renault R 12 Toros
            Araç çok temiz
                
                            
                            İlk Sahibi","1996",123333,"Beyaz",13500,"14 Mayıs 2017"," Hatay Antakya","Renault R 12 Toros
",29.1782018,41.1429436
"1514","Opel Astra 1.6 Enjoy
            Opel Astra Hb Enjoy 1.6","2004",170000,"Beyaz",28250,"14 Mayıs 2017"," Batman Gercüş","Opel Astra 1.6 Enjoy",28.824722,41.0456474
"1614","Opel Astra 1.3 CDTI Cosmo
            Full +full sunrooflu","2007",185000,"Siyah",43500,"14 Mayıs 2017"," Trabzon Akçaabat","Opel Astra 1.3 CDTI ",28.874244,41.020546
"1814","Lada Samara 1.5
            1991 Model Az Yakar Çok Kaçar Samara","1991",10000,"Kırmızı",7000,"14 Mayıs 2017"," Konya Selçuklu","Lada Samara 1.5
   ",28.824722,41.0456474
"1914","Hyundai Elantra 1.6 D-CVVT Elite
            FULL+FULL KUSURSUZ ELANTRA","2014",34000,"Kahverengi",70000,"14 Mayıs 2017"," AnkaraÇankaya","Hyundai Elantra 1.6 ",28.874244,41.020546
"2014","Chevrolet Aveo 1.2 S
            İhtiyaçtan satılık","2007",178000,"Beyaz",19850,"14 Mayıs 2017"," Sinop Türkeli","Chevrolet Aveo 1.2 S",29.127778,40.983333
"2115","Fiat Linea 1.3 Multijet Pop
            Sahibinden Kazasız Boyasız Degişensiz Full Orijinal","2014",43500,"Beyaz",41000,"14 Mayıs 2017","İstanbul Tuzla","Fiat Linea 1.3 Multi",29.1782018,41.1429436
"2214","Hyundai Accent 1.3 LS
            2ci sahibinden full orijinal hyundai accent
                
                            
                            İlk Sahibi","1997",210,"Mavi",14500,"14 Mayıs 2017"," ManisaŞehzadeler","Hyundai Accent 1.3 L",29.1782018,41.1429436
"2314","Opel Astra 1.6 GL
            Degisensiz Orjinal Hakiki Alman","1995",211000,"Kırmızı",17000,"14 Mayıs 2017"," Tokat Zile","Opel Astra 1.6 GL
 ",29.1782018,41.1429436
"244","Renault Safrane 2.0 RXE
            Memurdan ( YENİ VİZELİ )","1997",151000,"Yeşil",16250,"14 Mayıs 2017"," Aydın Nazilli","Renault Safrane 2.0 ",29.1782018,41.1429436
"315","Citroen C-Elysee 1.6 HDi Attraction
            2016 Model Boyasız
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",26500,"Beyaz",47500,"14 Mayıs 2017","İstanbul Ataşehir","Citroen C-Elysee 1.6",29.0576298,41.0189417
"415","Hyundai Getz 1.4 DOHC Start
            Temiz 2008 getz","2008",158000,"Siyah",29500,"14 Mayıs 2017"," Ankara Etimesgut","Hyundai Getz 1.4 DOH",29.127778,40.983333
"514","Tofaş Kartal 5 Vites
            Hacı Dede den Kalma Hacı Kartal","1991",20000,"Kırmızı",15000,"14 Mayıs 2017"," Diyarbakır Ergani","Tofaş Kartal 5 Vites",NA,NA
"715","Opel Astra 1.6 GL
            Aile aracı sıkıntısız","1997",267000,"Siyah",18500,"14 Mayıs 2017"," Aydın Yenipazar","Opel Astra 1.6 GL
 ",29.1739513,40.9498022
"815","Toyota Corolla 1.3 ECO
            Masrafsız 99 Corolla 1.3 Lpg'li","1999",208000,"Beyaz",17250,"14 Mayıs 2017","İstanbul Küçükçekmece","Toyota Corolla 1.3 E",28.934444,41.055
"915","Toyota Corolla 1.3 Terra
            ORJİNAL isteyenlere Toyota Corolla","1999",2e+05,"Beyaz",21300,"14 Mayıs 2017"," Aydın Söke","Toyota Corolla 1.3 T",29.0576298,41.0189417
"1014","Renault Clio 1.4 Authentique
            BOYASIZ-DARBESİZ-DEĞİŞENSİZ-DÜŞÜK-KM-TERTEMİZ-AİLE-ARACI","2005",91000,"Yeşil",28750,"14 Mayıs 2017"," Adana Seyhan","Renault Clio 1.4 Aut",28.934444,41.055
"1115","Renault Megane 1.5 dCi Privilege
            Arabadan beklediğin herşey mevcut..","2007",225000,"Gri (Gümüş)",32000,"14 Mayıs 2017"," Hatay Antakya","Renault Megane 1.5 d",28.7897558,41.1015173
"1215","BMW 4 Serisi 420d Gran Coupe Luxury Line
            2015 420d GRANCOUPE 190 BEYGİR BORUSAN ÇIKIŞLI","2015",54800,"Beyaz",228000,"14 Mayıs 2017","İstanbul Ataşehir","BMW 4 Serisi 420d Gr",29.9408089,40.7654408
"1315","Toyota Corolla 1.3 ECO
            Masrafsız 99 Corolla 1.3 Lpg'li","1999",208000,"Beyaz",17250,"14 Mayıs 2017","İstanbul Küçükçekmece","Toyota Corolla 1.3 E",33.1145764,40.1329566
"1415","Opel Astra 1.6 GLS
            sahıbınden KLİMALI ABS li muayene yeni","1999",240000,"Yeşil (metalik)",27000,"14 Mayıs 2017"," Hatay Dörtyol","Opel Astra 1.6 GLS
",29.7657663,40.8676124
"1515","Opel Astra 1.6 Edition
            Hatasız boyasız ilk sahibinden 33500 km'de
                
                            
                            İlk Sahibi","2013",33500,"Beyaz",52000,"14 Mayıs 2017"," Ankara Yenimahalle","Opel Astra 1.6 Editi",29.0576298,41.0189417
"1615","Peugeot 407 1.6 HDi Comfort
            Sorunsuz Arac","2008",133000,"Siyah",38000,"14 Mayıs 2017"," Kocaeli Gölcük","Peugeot 407 1.6 HDi ",29.7657663,40.8676124
"1815","Tofaş Kartal 5 Vites
            FUL ORJİNAL","1991",158000,"Beyaz",6250,"14 Mayıs 2017"," Kayseriİncesu","Tofaş Kartal 5 Vites",31.6880087,40.7652553
"1915","Ford B-Max 1.6 Titanium
            **ACİL SATILIK (ÖĞRETMENDEN)","2013",41000,"Kahverengi",51000,"14 Mayıs 2017"," Samsun Atakum","Ford B-Max 1.6 Titan",27.1441227,38.4144802
"2015","Peugeot 206 1.4 Color Line
            Bayandan yeni araç kullanmaya bayana","2002",184000,"Gri",24500,"14 Mayıs 2017"," AdanaÇukurova","Peugeot 206 1.4 Colo",29.9408089,40.7654408
"2116","Opel Astra 1.6 GLS
            Acillll satlık","1997",220000,"Yeşil",18850,"14 Mayıs 2017"," Ankara Yenimahalle","Opel Astra 1.6 GLS
",26.408587,40.14672
"2215","Renault Megane 1.6 RTE
            Memurdan orjinal.Acill satılık","1999",265000,"Gri (Gümüş)",18500,"14 Mayıs 2017"," OrduÜnye","Renault Megane 1.6 R",34.048806,37.512316
"2315","Toyota Yaris 1.3 Terra
            Dışı Küçük İçi Büyük Toyota Yaris","2008",87000,"Gri (Gümüş)",34000,"14 Mayıs 2017"," Osmaniye Kadirli","Toyota Yaris 1.3 Ter",29.9408089,40.7654408
"245","Opel Corsa 1.2 Enjoy
            OTOMATIK OPEL CORSA","2004",1e+05,"Mavi",28500,"14 Mayıs 2017"," Balıkesir Karesi","Opel Corsa 1.2 Enjoy",27.1382404,38.3231215
"316","Toyota Corolla 1.33 Life
            Toyota Corolla Sorunsuz, Bakimli, Kamerali Kacmaz","2014",54000,"Diğer",52000,"14 Mayıs 2017","İstanbul Kartal","Toyota Corolla 1.33 ",27.1382404,38.3231215
"416","Renault R 21 1.7 GTS Manager
            DEĞİŞENSİZ BOYASIZ MANAGER 145.000 KM DE TAKAS OLUR PAZARLIK PAYI VAR","1993",145000,"Mavi",14000,"14 Mayıs 2017","İstanbul Başakşehir","Renault R 21 1.7 GTS",29.002,41.044
"515","Lada Vega 1.5
            Reno parasına 2000 model lada","2000",11111,"Mavi (metalik)",9000,"14 Mayıs 2017"," Tokat Erbaa","Lada Vega 1.5
     ",27.83662,38.917664
"716","Audi A4 1.6
            AUDİ Yİ BİLEN İYİ BILİR, HATASIZ...","2003",318000,"Lacivert",35500,"14 Mayıs 2017"," Konya Meram","Audi A4 1.6
       ",27.1382404,38.3231215
"816","Renault R 12 TSW
            Temiz renault 12","1986",81372,"Siyah",6750,"14 Mayıs 2017"," Uşak Merkez","Renault R 12 TSW
  ",27.83662,38.917664
"916","Peugeot 206+ 1.4 Comfort
            2011 MODEL 206 PLUS","2011",155000,"Gri (Gümüş)",28500,"14 Mayıs 2017"," Antalya Elmalı","Peugeot 206+ 1.4 Com",27.83662,38.917664
"1015","Opel Corsa 1.2 Enjoy
            SIFIR ARAÇ 1000 km
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",1000,"Beyaz",53000,"14 Mayıs 2017"," AdanaÇukurova","Opel Corsa 1.2 Enjoy",27.83662,38.917664
"1116","Renault Clio 1.5 dCi Extreme
            İLK+ELDEN+HATASIZ+NOKTA+BOYA+YOK+TAMPONLAR+DAHİ+BOYASIZ+FULL+PAKET+CLIO","2009",170000,"Gri (Gümüş)",30900,"14 Mayıs 2017"," Antalya Muratpaşa","Renault Clio 1.5 dCi",28.7897558,40.3180088
"1216","Toyota Yaris 1.33 Style Red Skypack
            SAHİBİNDEN TEMİZ YARİS
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",10000,"Kırmızı",66750,"14 Mayıs 2017","İstanbul Tuzla","Toyota Yaris 1.33 St",32.333811,41.637602
"1316","Dacia Solenza 1.4 Rapsodie
            FIRSAT    GARAJ ARABASI 67.500 KM","2004",67500,"Gri",17750,"14 Mayıs 2017"," Kırklareli Lüleburgaz","Dacia Solenza 1.4 Ra",33.9750018,38.3352043
"1416","Skoda Octavia 1.6 Elegance
            TEMİZ SAHİBİNDEN SKODA OCTAVİA 1.6 FSI ELEGANCE A5 KASA","2005",175000,"Gri",39750,"14 Mayıs 2017"," Konya Meram","Skoda Octavia 1.6 El",26.408587,40.14672
"1516","BMW 3 Serisi 318i Standart
            Borusan Personelinden Masrafsız E46 3.18i","2000",225000,"Siyah",41500,"14 Mayıs 2017"," Adana Seyhan","BMW 3 Serisi 318i St",28.6498144,40.9910381
"1616","Fiat Palio 1.2 SL
            SATILIK 2005 MODEL FİAT PALİO DEGİŞENSİZ BAYANDAN","2005",129000,"Gri",24500,"14 Mayıs 2017"," Aydın Kuşadası","Fiat Palio 1.2 SL
 ",28.6498144,40.9910381
"1816","Ford Fiesta 1.4 Fun
            Fiyat Düştü Acill Klimalı Böyle Temizi Yok","2000",210000,"Gri (Gümüş)",17500,"14 Mayıs 2017"," Adana Yüreğir","Ford Fiesta 1.4 Fun",28.850556,40.9975
"1916","Fiat Bravo 1.6 SX
            98 MODEL ORJİNAL BAKIMLI TEK KAPI ARACIM SATILIKTIR","1998",242000,"Mavi",14750,"14 Mayıs 2017"," Denizli Pamukkale","Fiat Bravo 1.6 SX
 ",32.4920088,38.0160383
