"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"5","Volkswagen Jetta 1.4 TSi Comfortline
            2009 MODEL BAKIMLI","2009",195000,"Gri (Gümüş)",38000,"14 Mayıs 2017"," Aydın Efeler","Volkswagen Jetta 1.4",29.0227159,40.1794309
"71","Tofaş Kartal SLX
            1995 model KARTALL SLX MUAYENE Bİ HAFTALIK TERTEMİZZ.","1995",120000,"Beyaz",12750,"14 Mayıs 2017"," Kahramanmaraş Onikişubat","Tofaş Kartal SLX
  ",36.5590413,40.3000971
"81","Ford Focus 1.6 TDCi Trend
            KOZA MOTORS'TAN 1.6 DİZEL 2013 FOCUS
                
                            
                            İlk Sahibi","2013",62800,"Beyaz",56950,"14 Mayıs 2017"," Sakarya Erenler","Ford Focus 1.6 TDCi ",31.42026,41.279909
"91","Honda Accord 2.0 ES
            Honda  Accord  2.0  ES Lpg","1999",3e+05,"Lacivert",27500,"14 Mayıs 2017","İzmir Bornova","Honda Accord 2.0 ES",30.6890055,36.9934776
"10","Mazda 626 2.0
            1998 MODEL MAZDA 626 SANROFLU","1998",237000,"Beyaz",24500,"14 Mayıs 2017"," Ankara Akyurt","Mazda 626 2.0
     ",28.8130675,40.142458
"111","Skoda Octavia 1.6 GLX
            1999 MODEL SKODA 1.6 GLX","1999",190000,"Gri (Gümüş)",26750,"14 Mayıs 2017"," Ankara Akyurt","Skoda Octavia 1.6 GL",29.3482646,40.9847981
"121","Volkswagen Bora 1.6 Comfortline
            1999 MODEL BORA 1.6 COMFORT","1999",230000,"Yeşil (metalik)",27500,"14 Mayıs 2017"," Ankara Akyurt","Volkswagen Bora 1.6 ",37.796949,37.009926
"131","Opel Astra 1.6 CDX
            BER-KAN OTO DAN ASTRA CD","1998",270000,"Mavi (metalik)",24000,"14 Mayıs 2017"," Samsunİlkadım","Opel Astra 1.6 CDX
",27.365646,41.402742
"141","Volkswagen Passat 2.0 TDi Comfortline
            2008 MODEL PASSAT 2.0TDİ COMFORT HATASIZ BAKIMLI 146.000KM","2008",146500,"Gri (Gümüş)",59500,"14 Mayıs 2017"," Ankara Akyurt","Volkswagen Passat 2.",29.127778,40.983333
"151","Fiat Albea Sole 1.3 Multijet Active
            BER-KAN OTO DAN HATASIZ ALBEA","2011",92000,"Beyaz",30750,"14 Mayıs 2017"," Samsunİlkadım","Fiat Albea Sole 1.3 ",29.0227159,40.1794309
"161","Opel Astra 1.3 CDTI Essentia
            BER-KAN OTO DAN HATASIZ ASTRA","2006",175000,"Beyaz",35500,"14 Mayıs 2017"," Samsunİlkadım","Opel Astra 1.3 CDTI ",27.2911248,38.3337361
"181","Renault R 12 TX
            CEMAL OTOMOTİV'DEN MASRAFSIZ 1984 MODEL RENO12TX","1984",123456,"Beyaz",6500,"14 Mayıs 2017"," Kahramanmaraş Onikişubat","Renault R 12 TX
   ",39.3124988,37.7506386
"191","Volkswagen Passat 1.4 TSi BlueMotion Comfortline
            BİNGÖL AUTO'DAN 2015 ASTRA SPORT 1.6 CDTİ 136 BG","2012",35000,"Beyaz",71000,"14 Mayıs 2017"," Elazığ Merkez","Volkswagen Passat 1.",37.796949,37.009926
"201","Volkswagen Passat 1.9 TDi Comfortline
            BER-KAN OTO DAN OTOMATİK PASSAT","2001",280000,"Gri",34000,"14 Mayıs 2017"," Samsunİlkadım","Volkswagen Passat 1.",28.9470422,41.0168639
"211","Fiat Linea 1.3 Multijet Pop
            ARACIMIZ SERVİS BAKIMLI OLUP KM.ORJİNALDİR.","2014",79000,"Beyaz",40000,"14 Mayıs 2017","İzmir Buca","Fiat Linea 1.3 Multi",27.2911248,38.3337361
